Exam_Type,Class,language,Subject,Chapter_Name,chapter_number,Question,Question type,Marks,Year,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write the unit of rate constant for first order of reaction and second order of reaction.</p>,Very Short Answer,2,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write the following with definition - (i) Rate determining step (ii) Order of reaction</p>,Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write any three differences between d-block and f-block elements.</p>,Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write any three differences between Lanthanoid and Actinoid.</p>,Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,"<p>Q. Write only chemical equation of following reactions : (i) Alkyl halide reacts with sodium alkoxide</p>
<p>Q. Write only chemical equation of following reactions : (ii) Phenol heated with Zn (zinc) powder</p>
<p>Q. Write only chemical equation of following reactions : (iii) Ethyl alcohol is treated with \( \text{H}_2\text{SO}_4 \) at 413 K</p>",Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,"<p>Q. Write the structure of following compound : (i) 4-chloro 2,3-dimethyl pentan-1-ol (ii) 2-ethoxy propane (iii) 2,6-dimethyl phenol</p>",Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write the mechanism of SN\(_1\) and SN\(_2\) reaction.</p>,Long Answer,5,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write the following reactions with chemical equation - (i) Sandmeyer's reaction (ii) Fittig reaction</p>,Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Draw the labelled diagram of Electro-chemical cell and write its structure and chemical reaction.</p>,Diagram based Answer,2,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write and derive Nernst equation.</p>,Long Answer,5,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. How will you prepare the following from acetic acid (\( \text{CH}_3\text{COOH} \))? Write the chemical equations - (i) Acetic anhydride (ii) Ethyl acetate (iii) Acetyl chloride (iv) Acetamide (v) Ethyl alcohol</p>,Long Answer,5,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Complete and write the following reactions: (i) \( \text{CH}_3\text{CH}_2\text{CH}_2\text{CHO} + \text{Ammonical AgNO}_3 \) (Tollen's Reagent) (ii) \( \text{Benzene} + \text{CH}_3\text{COCl}/\text{AlCl}_3 \) (iii) \( \text{C}_6\text{H}_5\text{CHO} + \text{CH}_3\text{COCH}_3/\text{OH}^- \) (iv) \( \text{RCN} + \text{AlH(i-Bu)}_2/\text{H}_2\text{O} \) (v) \( \text{Benzene} + \text{CH}_3\text{COCl}/\text{AlCl}_3 \)</p>,Short Answer,3,2023,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. A first order reaction completes \(75 \%\) in 16 minutes. How much time will it take to complete \(50 \%\) ? (a) 8 minutes (b) 32 minutes (c) 24 minutes (d) 4 minutes</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. The following enzyme decompose maltose into glucose. (a) Invertase (b) Zymase (c) Maltase (d) Urease</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. The nature of \(\alpha\)-hydrogen in aldehydes is (a) Acidic (b) Basic (c) Neutral (d) Amphoteric</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. 5 gram NaOH is dissolved in 250 ml of solution. The molarity of solution will be (a) 0.5 M (b) 0.25 M (c) 2.5 M (d) 5.0 M</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. The unit of cell constant is (a) orn cm (b) \(\mathrm{cm}^{-1}\) (c) cm (d) \(\mathrm{ohm}^{-1} \mathrm{~cm}^{-1}\)</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Isomerism exhibited by the complex compound \(\left[\mathrm{Co}\left(\mathrm{NH}_{3}\right)_{5}(\mathrm{Cl})\right] \mathrm{SO}_{4}\) and \(\left[\mathrm{Co}\left(\mathrm{NH}_{3}\right)_{5}\left(\mathrm{SO}_{4}\right)\right] \mathrm{Cl}\) is (a) Bond isomerism (b) Hydrate isomerism (c) Co-ordination isomerism (d) Ionisation isomerism</p>,Multiple Choice Question,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. E.D.T.A. is a _____ ligand.</p>,Fill in the Blanks,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. 24 6 trinitrophenol is called _____.</p>,Fill in the Blanks,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. \(\mathrm{C}_{6} \mathrm{H}_{5} \mathrm{COOH} +\) _____ \(\rightarrow \mathrm{C}_{6} \mathrm{H}_{5} \mathrm{CONH}_{2} + \mathrm{H}_{2} \mathrm{O}\)</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. Methyl amine is _____ acidic than ethyl amine.</p>,Fill in the Blanks,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. The solubility of gas in a liquid is determined by _____ law.</p>,Fill in the Blanks,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. One Faraday electricity equals to _____ coulomb.</p>,Fill in the Blanks,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. Primary amines is prepared by Hoffmann bromamide reaction.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Keratin is a globular proteins.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Ketones is prepared by Stephen reaction.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. The unit of rate of reaction is mol \(\mathrm{lit}^{-1} \mathrm{sec}^{-1}\).</p>,One Word Answer,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Lanthanoids is more reactive than actinoids.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. Phenols is also called carbolic acids.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the unit of Equivalence conductivity.</p>,One Word Answer,1,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write the general electronic configuration of f-block-elements.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Who propounded the theory of Coordination compounds?</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Write the definition of Formalin.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Write the definition of Molality.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the definition of complex ion.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the ionisation isomerism with example.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write any two uses of carbon tetrachloride.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write Ammonolysis of alkyl halides with chemical equation.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. Write coupling reaction of Diazonium salt with chemical equation.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the definition of Resistivity.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the definition of specific conductivity.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write the definition of rate of chemical reaction.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write the definition of molecularity of chemical reaction.</p>,Very Short Answer,2,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Transition metals show changed oxidation number why? Write cause.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Transition metals form coloured ions/compounds why? Write cause.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the IUPAC name of following complex compounds - (i) \( \mathrm{K}_{2}\left[\mathrm{Hg}(\mathrm{I})_{4}\right] \) (ii) \( \left[\mathrm{Cr}\left(\mathrm{H}_{2} \mathrm{O}\right)_{6}\right] \mathrm{Cl}_{3} \)</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the IUPAC name of following coordination compounds - (i) Potassium Tetrahydroxydo Zincate (II) (ii) Tetracarbonilnikel (O)</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. Write following chemical reactions with chemical equations: (i) Reaction of phenols with sodium (acidic nature) (ii) Reimer-Tiemann reaction.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. Write chemical equation for the following conversions : (i) Propene to Propan-2-ol (ii) Benzyl chloride to Benzyl alcohol</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Write the definition of enzyme with example.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Write the definition of essential and non-essential amino acids with example.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. For a first order reaction write that time required for \(99 \%\) completion is twice the time required for the completion of \(90 \%\) of reaction.</p>,Long Answer,5,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. For a zero order of chemical reaction derive the expression that the value of half life \( \left(t_{1 / 2}\right) \) is directly proportional of the initial concentration of reactants.</p>,Long Answer,5,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write the definition of d-block elements and its any two characters.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write the definition of f-block elements and its any two characters.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write the following reactions with chemical equations (i) Oxidation of chloroform (ii) Wurtz-Fittig reaction</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Complete following reactions : (i) \(\mathrm{CH}_{3} \mathrm{CH}_{2} \mathrm{Br}+\mathrm{KCN} \xrightarrow[\text { (aq. ethanol) }]{\text { जलीय एथेनॉल }}\) (ii) \(\mathrm{C}_{2} \mathrm{H}_{5} \mathrm{Cl}+\mathrm{C}_{2} \mathrm{H}_{5} \mathrm{ONa} \rightarrow\) (iii) [Chemical Structure] (iv) \(\mathrm{CH}_{3} \mathrm{CH}_{2} \mathrm{OH}+\mathrm{SOCl}_{2} \rightarrow\)</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Write the following reactions with chemical equations : (i) Cannizaro's reaction (ii) Rosenmund reaction</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. What happened when (Write with chemical equations) (i) Benzene is reacted with acetyl chloride in the presence of anhydrous aluminium chloride catalyst. (ii) Benzene is heated with carbon monoxide and hydrogen chloride gas in the presence of anhydrous aluminium chloride catalyst.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Define Osmotic pressure and based on this derive a mathematical expression to determine the molecular weight (mass) of solute.</p>,Long Answer,5,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Define depression in freezing point and based on this derive a mathematical expression to determine the molecular weight (mass) of solute.</p>,Long Answer,5,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write Kohlrausch's law and its any two applications.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write any four differences between galvanic cell and electrolytic cell.</p>,Short Answer,3,2024,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Homogeneous mixtures of two or more than two components is - (a) Solution (b) Liquid solute (c) Liquid solvent (d) Solvent</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Rate \(=K[A]^{1 / 2}[B]^{3 / 2}\) in rate expression the overall order of reaction is - (a) 4 (b) 3 (c) 2 (d) 1</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Transition element is - (a) Sodium (b) Potassium (c) Titanium (d) Cesium</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Benzaldehyde is - (a) \(\mathrm{C}_{6} \mathrm{H}_{5} \mathrm{OH}\) (b) \(\mathrm{C}_{6} \mathrm{H}_{4}(\mathrm{CHO})(\mathrm{OH})\) (c) \(\mathrm{C}_{6} \mathrm{H}_{5} \mathrm{CHO}\) (d) \(\mathrm{C}_{6} \mathrm{H}_{6} \mathrm{CHO}\)</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,"<p>Q. Ethane-1, 2-diamine is - (a) \(\mathrm{H}_{2} \mathrm{~N}-\mathrm{CH}_{2}-\mathrm{CH}_{2}-\mathrm{NH}_{2}\) (b) \(\mathrm{CH}_{3} \mathrm{NHCH}_{2} \mathrm{CH}_{3}\) (c) \(\mathrm{H}_{2} \mathrm{~N}-\mathrm{CH}_{2}-\mathrm{NH}-\mathrm{CH}_{3}\) (d) \(\mathrm{CH}_{3} \mathrm{NHCH}_{2} \mathrm{CH}_{2} \mathrm{CH}_{3}\)</p>",Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Molecules that act as intercelluar messengers are - (a) DNA (b) RNA (c) Hormones (d) Enzymes</p>,Multiple Choice Question,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Number of moles of solute dissolved in one litre (1 cubic decimetre) of solution is called _____.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. The unit of rate constant for first order reaction is ____.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Fehling reagent contains two solutions Fehling solution-A and _____.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. Lower aliphatic amines are _____ smelling gases.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Glucose occurs in nature in free or _____ state.</p>,Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,"<p>Q. If third amino acid combines with dipeptide, the product is called _____.</p>",Fill in the Blanks,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. The solutions which obey Raoult's law over the entire range of concentrations are known as ideal solutions.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. The cell potential is the addition of the electrode potentials (reduction potentials) of the cathode and anode.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. The \(\mathrm{Ca}^{2+}\) and \(\mathrm{Mg}^{2+}\) ions form stable complexes with EDTA.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. \(\mathrm{C}_{2} \mathrm{H}_{5} \mathrm{OCH}_{3}\) is a symmetrical ether.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Ketones containing carbonyl group.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. Hinsberg's reagent reacts with primary and secondary amines to form sulphonamides.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the value of conductivity of superconductor.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write the chemical formula of potassium dichromate.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the central metal atom in \(\left[\mathrm{Ni}(\mathrm{CO})_{4}\right]\).</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,"<p>Q. Write alkyl halides \(\mathrm{RI}, \mathrm{RF}, \mathrm{RBr}, \mathrm{RCl}\) in decreasing order of boiling points.</p>",Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Write the name of hormone which is responsible for deep voice in males.</p>,One Word Answer,1,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the definition of corrosion.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. Write the Faraday's first law of electrolysis.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,"<p>Q. Write, what are elementary reactions.</p>",Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,"<p>Q. Write, what are complex reactions.</p>",Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write any two characteristics of interstitial compounds.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,<p>Q. Write any two applications of \( \mathrm{d} \)- and f-block elements.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write homoleptic complex with an example.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write heteroleptic complex with an example.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the formulas for the following coordination compounds : (i) Potassium tetracyanidonickelate (II) (ii) Pentaamminecarbonatocobalt (III) chloride</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Coordination Compounds,5,<p>Q. Write the IUPAC names of the following coordination compounds: (i) \( \mathrm{K}_{2}\left[\mathrm{PdCl}_{4}\right] \) (ii) \( \left[\mathrm{Cr}\left(\mathrm{NH}_{3}\right)_{3}\left(\mathrm{H}_{2} \mathrm{O}\right)_{3}\right] \mathrm{Cl}_{3} \)</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Draw the structures of major monohalo product for the following chemical reactions : (i) cyclohexanol + \(\mathrm{SOCl}_{2}\) (ii) benzene + \(\mathrm{Cl}_{2}\) with \(\mathrm{FeCl}_{3}\)</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Write the names of any four main sources of Vitamin A.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Biomolecules,10,<p>Q. Write the names of any four chief sources of protein.</p>,Very Short Answer,2,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write any three conclusions or characteristics of molecularity of reaction.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Chemical Kinetics,3,<p>Q. Write any three conclusions or characteristics of order of reaction.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,"<p>Q. Write, why do transition elements exhibit higher enthalpies of atomisation.</p>",Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,The d- and f-Block Elements,4,"<p>Q. Write, why is \(\mathrm{Cr}^{2+}\) reducing and \(\mathrm{Mn}^{3+}\) oxidising when both have \(\mathrm{d}^{4}\) configuration.</p>",Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write any three effects of dichloromethane (methylene chloride) for human.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Haloalkanes and Haloarenes,6,<p>Q. Write any three effects of tetrachloromethane (carbon tetrachloride) for human.</p>,Short Answer,3,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. What is diazotisation? Why diazonium salt is generally not stored? Write chemical equation for diazotisation.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Amines,9,<p>Q. What is Hoffmann bromamide degradation reaction? Why in this reaction amine contains carbon less than that present in the amide? Write chemical equation for it.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Define elevation in boiling point and based on this derive a mathematical expression to determine the molar mass of solute.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Solutions,1,<p>Q. Define relative lowering of vapour pressure and based on this derive a mathematical expression to determine the molar mass of solute.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,<p>Q. A solution of \(\mathrm{CuSO}_{4}\) is electrolysed for 10 minutes with a current of 1.5 amperes. Write the mass of copper deposited at the cathode by calculation.</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,Electrochemistry,2,"<p>Q. The conductivity of \(0.001028 \, \mathrm{mol} \, \mathrm{L}^{-1}\) acetic acid is \(4.95 \times 10^{-5} \, \mathrm{S} \, \mathrm{cm}^{-1}\). Calculate its dissociation constant if \(\Lambda_{\mathrm{m}}^{\circ}\) for acetic acid is \(390.5 \, \mathrm{S} \, \mathrm{cm}^{2} \, \mathrm{mol}^{-1}\).</p>",Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Complete the following reactions : (i) \(\mathrm{CH}_{3}\mathrm{CH}_{2}\mathrm{CH}_{2}\mathrm{OH} + \text{excess } \mathrm{KMnO}_{4}/H^{+}\) (ii) \(\text{benzene} + \mathrm{CH}_{3}\mathrm{COCl} \text{ with } \mathrm{AlCl}_{3}\) (iii) \(\text{toluene} + \mathrm{CrO}_{2}\mathrm{Cl}_{2}\) (iv) \(\mathrm{acetaldehyde} + \mathrm{NH}_{2}\mathrm{OH}\)</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Alcohols, Phenols and Ethers",7,<p>Q. Complete the following reactions : (i) \(\left(\mathrm{CH}_{3}\right)_{3} \mathrm{C}-\mathrm{OC}_{2} \mathrm{H}_{5} \xrightarrow{\mathrm{HI}}\) (ii) \(\mathrm{CO}+2 \mathrm{H}_{2} \xrightarrow[\substack{200-300 \text { atm } \\ 573-673 \mathrm{~K}}]{\mathrm{ZnO}-\mathrm{Cr}_{2} \mathrm{O}_{3}}\) (iii) benzene + \(\mathrm{CH}_{3}Cl\) with \(\mathrm{AlCl}_{3}\) (iv) phenol + \(\mathrm{CHCl}_{3}\) + \(\mathrm{NaOH}\)</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Write the following reactions with chemical equations : (i) Gatterman-Koch reaction (ii) Etard reaction</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
Board,Class 12th,English,Chemistry,"Aldehydes, Ketones and Carboxylic Acids",8,<p>Q. Write the following reactions with chemical equations : (i) Stephen reaction (ii) Friedel-Crafts acylation reaction</p>,Long Answer,5,2025,,,,,,,,,,,,,,,,
